id,type,wait_time,exec_time
205,512-1024,1346100.0,446058.6387434555
206,4096-256,1356800.0,456702.44215938303
207,256-1024,1159100.0,259054.01459854015
208,512-128,908100.0,8081.408376963351
209,512-512,13800.0,113754.03141361257
210,256-256,918100.0,18064.642335766424
211,1024-256,986900.0,86862.75862068965
212,512-2048,2665800.0,1765774.8691099477
213,256-128,905300.0,5276.14598540146
214,4096-2048,29228100.0,28328084.832904886
215,4096-2048,28318100.0,28328084.832904886
216,512-4096,16338400.0,7028298.4293193715
217,256-256,918100.0,18064.642335766424
218,256-256,0.0,18064.642335766424
219,2048-256,1108500.0,208440.0
220,512-4096,7928300.0,7028298.4293193715
221,512-512,13800.0,113754.03141361257
222,1024-512,1240200.0,340165.5172413793
223,256-128,905300.0,5276.14598540146
224,2048-4096,52992000.0,52092000.0
226,512-256,14010600.0,29671.675392670157
225,256-1024,35269700.0,259054.01459854015
227,512-4096,7928300.0,7028298.4293193715
228,2048-4096,52992000.0,52092000.0
229,2048-4096,51992000.0,52092000.0
230,4096-256,33448800.0,456702.44215938303
231,4096-8192,464614800.0,451714652.95629823
232,256-128,445152200.0,5276.14598540146
244,256-128,205152200.0,5276.14598540146
252,256-128,45152200.0,5276.14598540146
239,256-256,305165000.0,18064.642335766424
233,256-1024,425411300.0,259054.01459854015
243,256-1024,225411300.0,259054.01459854015
249,256-4096,109188200.0,4035970.802919708
255,256-128,0.0,5276.14598540146
250,256-8192,101242000.0,16076905.109489052
242,512-128,262250100.0,8081.408376963351
236,512-8192,410294700.0,28052670.157068063
235,1024-128,431317600.0,22852.41379310345
247,1024-128,191317600.0,22852.41379310345
238,1024-2048,376650100.0,5355379.310344827
245,4096-128,237768600.0,118402.44215938303
251,4096-128,117768600.0,118402.44215938303
256,4096-128,17826000.0,118402.44215938303
240,4096-256,338225400.0,456702.44215938303
254,4096-512,59681500.0,1794325.1928020567
241,4096-1024,325337500.0,7112075.835475579
248,4096-8192,631396200.0,451714652.95629823
260,512-128,391955800.0,8081.408376963351
265,512-256,291977400.0,29671.675392670157
266,512-256,271977400.0,29671.675392670157
271,512-2048,173721600.0,1765774.8691099477
257,512-8192,480416100.0,28052670.157068063
272,256-512,181097100.0,66999.70802919708
277,256-4096,85066100.0,4035970.802919708
261,1024-256,406153000.0,86862.75862068965
262,1024-256,386153000.0,86862.75862068965
259,1024-512,446406300.0,340165.5172413793
264,1024-2048,351508400.0,5355379.310344827
274,1024-2048,151508400.0,5355379.310344827
258,1024-8192,551762200.0,85355862.06896552
270,2048-256,312970700.0,208440.0
234,2048-512,1034033700.0,822960.0
269,2048-512,333793700.0,822960.0
279,2048-512,134408200.0,822960.0
