,13617166_133,13606938_3,13606938_6,13617166_132,13617166_132,13606938_5,13606938_4,13606938_4,13606938_8,13606938_0,13617166_136,13606938_1,13606938_8,13606938_7,13617166_134,13606938_2,13606938_6,13617166_135,13606938_0,13606938_7,13606938_5,13617166_135,13617166_134,13606938_3,13606938_1,13617166_136,13606938_2,13617166_133
13617166_136,0.3341219201161743,0.5545374276273678,0.5545374276273678,0.4008670201416238,0.4250870502001589,0.5615347453261359,0.5020575448866074,0.5195508391335275,0.5545374276273678,0.2606500842791098,1.0,0.32362594356802227,0.46007363869399914,0.44607900329646305,0.5808110789006202,0.4985588860372234,0.5584130105902968,0.6757369614512472,0.2466554488815737,0.432084367898927,0.5230494979829116,0.6833148556260079,0.5954382559475349,0.5615347453261359,0.4215883913507749,0.9365079365079365,0.47056961524215124,0.288639355074182
13606938_1,0.32793522267206476,0.3387314439946019,0.4089068825910931,0.3024983809091197,0.30634278002699056,0.3252361673414305,0.3468286099865047,0.36572199730094473,0.398110661268556,0.5492577597840755,0.32362594356802227,1.0,0.417004048582996,0.3873144399460189,0.33639656150861375,0.5357624831309041,0.43754230095783386,0.3096313081704861,0.5168690958164642,0.3684210526315789,0.3387314439946019,0.32224217543563927,0.29133032034109885,0.417004048582996,0.6896086369770581,0.3096313081704861,0.43319838056680166,0.33333333333333337
13606938_8,0.3603238866396761,0.5978407557354926,0.6248313090418354,0.48885899057634524,0.5384615384615384,0.6167341430499325,0.5843454790823213,0.5708502024291499,0.7219973009446693,0.23616734143049933,0.46007363869399914,0.417004048582996,1.0,0.5654520917678812,0.5928300059373112,0.47098515519568157,0.5806888562094709,0.5090548625853755,0.32253711201079627,0.6383265856950068,0.5762483130904184,0.507881689545301,0.5379448240717035,0.5411605937921727,0.5168690958164642,0.4740682740915353,0.47098515519568157,0.3765182186234818
13606938_7,0.3900134952766532,0.6491228070175439,0.6383265856950068,0.6887239922484422,0.7031039136302294,0.5492577597840755,0.6248313090418354,0.6113360323886641,0.4871794871794872,0.34143049932523617,0.44607900329646305,0.3873144399460189,0.5654520917678812,1.0,0.5624991684242394,0.44669365721997306,0.6644160866396737,0.4740682740915353,0.4224021592442645,0.7543859649122807,0.46558704453441296,0.47986063081176716,0.4891639332238916,0.6194331983805668,0.5303643724696356,0.4460790032964631,0.3927125506072875,0.4278002699055331
13617166_134,0.3860288410754584,0.7086386582599487,0.6204034945855581,0.5752955580078561,0.5542271218297653,0.65073433209863,0.6893372162061757,0.678307820746877,0.6231608434503828,0.1819850250784304,0.5808110789006202,0.33639656150861375,0.5928300059373112,0.5624991684242394,1.0,0.44117581837195247,0.6663495312177325,0.6058306330686469,0.3226098171844902,0.5955873548021359,0.6479769832338051,0.6118861082546587,0.8610285277010249,0.6617637275579288,0.4659919581553748,0.6022564110446431,0.49356544680362185,0.4053302831292313
13606938_2,0.3765182186234818,0.44129554655870445,0.543859649122807,0.3781229761363996,0.4143049932523617,0.44399460188933876,0.4817813765182187,0.5060728744939271,0.5222672064777328,0.38191632928475033,0.4985588860372234,0.5357624831309041,0.47098515519568157,0.44669365721997306,0.44117581837195247,1.0,0.5833897346104451,0.4775669329409193,0.35492577597840763,0.4493927125506073,0.5168690958164642,0.469352733786692,0.40244234949444824,0.5087719298245614,0.543859649122807,0.4985588860372235,0.7139001349527666,0.36572199730094473
13606938_6,0.44024317935880813,0.696826627451365,0.8399731827030019,0.5635135135135134,0.5968941266153166,0.6293046674270079,0.7130318978572107,0.715732776258185,0.5779879778084965,0.2781904753003512,0.5584130105902968,0.43754230095783386,0.5806888562094709,0.6644160866396737,0.6663495312177325,0.5833897346104451,1.0,0.5339058565205033,0.3376098001217854,0.629304667427008,0.6022958834172651,0.5467797170415696,0.6128848772573279,0.6995275058523392,0.5644835858036251,0.5724170986301789,0.5833897346104452,0.4672519633685509
13617166_135,0.39010046170631874,0.5265481568322956,0.5440414510792158,0.4113700861715353,0.4600736386939992,0.5090548625853755,0.5160521802841436,0.5440414510792158,0.56503340417552,0.28164203737541393,0.6757369614512472,0.3096313081704861,0.5090548625853755,0.4740682740915353,0.6058306330686469,0.4775669329409193,0.5339058565205033,1.0,0.2221648369358855,0.4040950971038548,0.48456425063968733,0.9761640794657254,0.5778737056245987,0.5090548625853756,0.4180897325013909,0.7210884353741497,0.41459107365200687,0.3761058263087826
13606938_0,0.4008097165991903,0.31983805668016196,0.30904183535762486,0.4186361521510139,0.4116059379217274,0.31713900134952766,0.37112010796221323,0.3360323886639676,0.2766531713900135,0.5681511470985156,0.2466554488815737,0.5168690958164642,0.32253711201079627,0.4224021592442645,0.3226098171844902,0.35492577597840763,0.3376098001217854,0.2221648369358855,1.0,0.3765182186234818,0.36302294197031043,0.24168163157672945,0.28320017186646357,0.36572199730094473,0.51417004048583,0.22566349578526954,0.349527665317139,0.39541160593792174
13606938_7,0.2901484480431849,0.630229419703104,0.6140350877192984,0.5833897346104452,0.6140350877192984,0.5303643724696356,0.6923076923076924,0.6248313090418354,0.5384615384615384,0.2901484480431849,0.432084367898927,0.3684210526315789,0.6383265856950068,0.7543859649122807,0.5955873548021359,0.4493927125506073,0.629304667427008,0.4040950971038548,0.3765182186234818,1.0,0.5222672064777328,0.416813248661316,0.5542051210209742,0.5735492577597842,0.47908232118758437,0.4250870502001589,0.46018893387314447,0.3387314439946019
